Model name, max_depth, min_samples_leaf, n_estimators, Accuracy, Precision (True), Precision (False), Recall (True), Recall (False), True Positives, False Negatives, False Positives, False Negatives
bow_1_1, 25, 7, 400, 0.843, 0.8173605655930872, 0.86960065199674, 0.8667221990837152, 0.8210850327048865, 2081, 320, 465, 2134
bow_1_1, 25, 7, 800, 0.8424, 0.8106834249803614, 0.8753056234718827, 0.8708860759493671, 0.8167300380228137, 2064, 306, 482, 2148
bow_1_1, 15, 10, 100, 0.8212, 0.779261586802828, 0.8647106764466178, 0.8566493955094991, 0.7906110283159463, 1984, 332, 562, 2122
bow_1_1, 15, 10, 400, 0.8366, 0.8024351924587588, 0.8720456397718012, 0.8667798048366567, 0.8096859629209232, 2043, 314, 503, 2140
bow_1_1, 15, 10, 800, 0.8382, 0.8000785545954439, 0.8777506112469438, 0.8716302952503209, 0.8088621855050695, 2037, 300, 509, 2154
bow_1_1, 20, 10, 100, 0.825, 0.7902592301649647, 0.8610431947840261, 0.8550786230344242, 0.7982621836040801, 2012, 341, 534, 2113
bow_1_1, 20, 10, 400, 0.8386, 0.8079340141398271, 0.8704156479217604, 0.8661052631578947, 0.8137142857142857, 2057, 318, 489, 2136
bow_1_1, 20, 10, 800, 0.8394, 0.8036135113904164, 0.8765281173594132, 0.8710089399744572, 0.8113919275745002, 2046, 303, 500, 2151
bow_1_1, 25, 10, 100, 0.8298, 0.800471327572663, 0.8602281988590057, 0.8559428811423772, 0.806032836960672, 2038, 343, 508, 2111
bow_1_1, 25, 10, 400, 0.8384, 0.812254516889238, 0.8655256723716381, 0.8623853211009175, 0.8162951575710992, 2068, 330, 478, 2124
bow_1_1, 25, 10, 800, 0.84, 0.812254516889238, 0.8687856560717196, 0.8652719665271966, 0.8168582375478928, 2068, 322, 478, 2132
bow_1_1, 15, 13, 100, 0.8234, 0.7796543597800472, 0.8687856560717196, 0.8604247941048981, 0.7916821388785741, 1985, 322, 561, 2132
bow_1_1, 15, 13, 400, 0.8386, 0.8016496465043205, 0.8769356153219234, 0.8711054204011951, 0.8099360180654874, 2041, 302, 505, 2152
bow_1_1, 15, 13, 800, 0.8366, 0.7989002356637863, 0.8757131214343928, 0.8696023941855494, 0.8075911311537016, 2034, 305, 512, 2149
bow_1_1, 20, 13, 100, 0.8252, 0.7941869599371564, 0.8573757131214343, 0.8524451939291737, 0.8006088280060882, 2022, 350, 524, 2104
bow_1_1, 20, 13, 400, 0.8386, 0.8063629222309505, 0.8720456397718012, 0.8673426277989016, 0.8127611090011394, 2053, 314, 493, 2140
bow_1_1, 20, 13, 800, 0.8386, 0.8063629222309505, 0.8720456397718012, 0.8673426277989016, 0.8127611090011394, 2053, 314, 493, 2140
bow_1_1, 25, 13, 100, 0.827, 0.7989002356637863, 0.8561532192339039, 0.8521156263091747, 0.8040566398775354, 2034, 353, 512, 2101
bow_1_1, 25, 13, 400, 0.837, 0.8106834249803614, 0.8643031784841075, 0.8610763454317898, 0.8148290434114484, 2064, 333, 482, 2121
bow_1_1, 25, 13, 800, 0.8374, 0.8047918303220738, 0.8712306438467807, 0.866384778012685, 0.8113851992409867, 2049, 316, 497, 2138
bow_1_2, 15, 2, 100, 0.8276, 0.7918303220738413, 0.8647106764466178, 0.858603066439523, 0.8001508295625943, 2016, 332, 530, 2122
bow_1_2, 15, 2, 400, 0.8406, 0.8055773762765122, 0.8769356153219234, 0.8716532086697832, 0.8129958443520967, 2051, 302, 495, 2152
bow_1_2, 15, 2, 800, 0.8458, 0.8095051060487038, 0.8834555827220864, 0.878142309331061, 0.817188088955899, 2061, 286, 485, 2168
bow_1_2, 20, 2, 100, 0.8322, 0.795758051846033, 0.8700081499592502, 0.8639658848614072, 0.8041431261770244, 2026, 319, 520, 2135
bow_1_2, 20, 2, 400, 0.841, 0.8055773762765122, 0.8777506112469438, 0.8723947256486602, 0.8131370328425821, 2051, 300, 495, 2154
bow_1_2, 20, 2, 800, 0.8482, 0.8165750196386489, 0.8810105949470253, 0.8768452129902995, 0.8223659186002282, 2079, 292, 467, 2162
bow_1_2, 25, 2, 100, 0.8362, 0.8016496465043205, 0.8720456397718012, 0.8666666666666667, 0.8090737240075614, 2041, 314, 505, 2140
bow_1_2, 25, 2, 400, 0.8426, 0.8095051060487038, 0.8769356153219234, 0.8721963605586119, 0.8160788775123247, 2061, 302, 485, 2152
bow_1_2, 25, 2, 800, 0.8468, 0.8173605655930872, 0.8773431132844336, 0.8736356003358522, 0.8223834988540871, 2081, 301, 465, 2153
bow_1_2, 15, 3, 100, 0.826, 0.7824037706205813, 0.8712306438467807, 0.8630849220103987, 0.7942050520059435, 1992, 316, 554, 2138
bow_1_2, 15, 3, 400, 0.8368, 0.8008641005498822, 0.8740831295843521, 0.8683986371379898, 0.8088235294117647, 2039, 309, 507, 2145
bow_1_2, 15, 3, 800, 0.8408, 0.8016496465043205, 0.8814180929095354, 0.8752144082332761, 0.81071964017991, 2041, 291, 505, 2163
bow_1_2, 20, 3, 100, 0.832, 0.7922230950510605, 0.8732681336593318, 0.8664089347079038, 0.8020209580838323, 2017, 311, 529, 2143
bow_1_2, 20, 3, 400, 0.8398, 0.8012568735271013, 0.8797881010594947, 0.8736616702355461, 0.8101313320825516, 2040, 295, 506, 2159
bow_1_2, 20, 3, 800, 0.8444, 0.8063629222309505, 0.8838630806845966, 0.8781009409751924, 0.8148009015777611, 2053, 285, 493, 2169
bow_1_2, 25, 3, 100, 0.8366, 0.7965435978004713, 0.8781581092094539, 0.8715083798882681, 0.8062102506546951, 2028, 299, 518, 2155
bow_1_2, 25, 3, 400, 0.8452, 0.8102906520031422, 0.8814180929095354, 0.8763806287170773, 0.8174603174603174, 2063, 291, 483, 2163
bow_1_2, 25, 3, 800, 0.8472, 0.8146111547525531, 0.8810105949470253, 0.8765849535080305, 0.8208048595292331, 2074, 292, 472, 2162
bow_1_2, 15, 5, 100, 0.829, 0.7835820895522388, 0.876120619396903, 0.8677685950413223, 0.7960014809329878, 1995, 304, 551, 2150
bow_1_2, 15, 5, 400, 0.8404, 0.7992930086410055, 0.8830480847595762, 0.8763996554694229, 0.8091859596713966, 2035, 287, 511, 2167
bow_1_2, 15, 5, 800, 0.8426, 0.7992930086410055, 0.8875305623471883, 0.8805711813067936, 0.809966530308665, 2035, 276, 511, 2178
bow_1_2, 20, 5, 100, 0.8308, 0.7906520031421839, 0.8724531377343113, 0.8654342218400688, 0.8006731488406881, 2013, 313, 533, 2141
bow_1_2, 20, 5, 400, 0.8414, 0.8012568735271013, 0.8830480847595762, 0.8766652342071336, 0.8106995884773662, 2040, 287, 506, 2167
