Model name, max_depth, min_samples_leaf, n_estimators, Accuracy, Precision (True), Precision (False), Recall (True), Recall (False), True Positives, False Negatives, False Positives, False Negatives
d2vdbow,25,5,800,0.831,0.894,0.766,0.799,0.874,2275,574,271,1880
d2vdbow,15,7,100,0.817,0.890,0.742,0.781,0.867,2266,634,280,1820
d2vdbow,15,7,400,0.828,0.899,0.754,0.791,0.878,2289,603,257,1851
d2vdbow,15,7,800,0.826,0.896,0.753,0.790,0.875,2282,605,264,1849
d2vdbow,20,7,100,0.821,0.882,0.758,0.791,0.861,2246,594,300,1860
d2vdbow,20,7,400,0.824,0.888,0.758,0.792,0.868,2262,594,284,1860
d2vdbow,20,7,800,0.828,0.894,0.760,0.794,0.873,2276,590,270,1864
d2vdbow,25,7,100,0.828,0.882,0.771,0.800,0.863,2246,562,300,1892
d2vdbow,25,7,400,0.829,0.898,0.757,0.793,0.878,2287,597,259,1857
d2vdbow,25,7,800,0.829,0.897,0.759,0.794,0.876,2283,592,263,1862
d2vdbow,15,10,100,0.811,0.879,0.741,0.779,0.855,2238,636,308,1818
d2vdbow,15,10,400,0.825,0.887,0.760,0.793,0.866,2258,589,288,1865
d2vdbow,15,10,800,0.825,0.889,0.758,0.792,0.868,2264,595,282,1859
d2vdbow,20,10,100,0.816,0.884,0.745,0.783,0.861,2251,625,295,1829
d2vdbow,20,10,400,0.829,0.890,0.766,0.798,0.870,2266,575,280,1879
d2vdbow,20,10,800,0.827,0.894,0.758,0.793,0.874,2277,595,269,1859
d2vdbow,25,10,100,0.816,0.880,0.749,0.785,0.857,2240,615,306,1839
d2vdbow,25,10,400,0.826,0.891,0.759,0.793,0.870,2268,591,278,1863
d2vdbow,25,10,800,0.827,0.890,0.762,0.795,0.870,2267,585,279,1869
d2vdbow,15,13,100,0.820,0.871,0.767,0.795,0.852,2218,571,328,1883
d2vdbow,15,13,400,0.827,0.880,0.771,0.800,0.861,2241,561,305,1893
d2vdbow,15,13,800,0.826,0.886,0.764,0.796,0.866,2255,578,291,1876
d2vdbow,20,13,100,0.826,0.883,0.768,0.798,0.863,2248,570,298,1884
d2vdbow,20,13,400,0.828,0.889,0.765,0.797,0.869,2264,577,282,1877
d2vdbow,20,13,800,0.827,0.890,0.762,0.795,0.870,2267,585,279,1869
d2vdbow,25,13,100,0.824,0.880,0.767,0.796,0.860,2241,573,305,1881
d2vdbow,25,13,400,0.827,0.885,0.766,0.797,0.865,2253,574,293,1880
d2vdbow,25,13,800,0.825,0.886,0.762,0.795,0.866,2256,583,290,1871
d2vdm100,15,2,100,0.796,0.806,0.785,0.796,0.796,2051,527,495,1927
d2vdm100,15,2,400,0.814,0.821,0.808,0.816,0.813,2089,471,457,1983
d2vdm100,15,2,800,0.816,0.823,0.808,0.817,0.815,2095,470,451,1984
d2vdm100,20,2,100,0.801,0.816,0.784,0.797,0.804,2078,529,468,1925
d2vdm100,20,2,400,0.813,0.823,0.803,0.813,0.814,2096,483,450,1971
