Model name, C, solver, penalty, l1_ratio, Accuracy, Precision (True), Precision (False), Recall (True), Recall (False), True Positives, False Negatives, False Positives, False Negatives
d2vdbow100, 0.001, newton-cg, l2, -1, 0.8476, 0.8739198743126473, 0.8202933985330073, 0.8345836459114778, 0.8624678663239075, 2225, 441, 321, 2013
d2vdbow100, 0.0001, newton-cg, l2, -1, 0.841, 0.8633150039277298, 0.8178484107579462, 0.8310018903591683, 0.8522292993630574, 2198, 447, 348, 2007
d2vdbow100, 0.001, lbfgs, l2, -1, 0.8476, 0.8739198743126473, 0.8202933985330073, 0.8345836459114778, 0.8624678663239075, 2225, 441, 321, 2013
d2vdbow100, 0.0001, lbfgs, l2, -1, 0.8408, 0.8633150039277298, 0.8174409127954361, 0.8306878306878307, 0.8521665250637214, 2198, 448, 348, 2006
d2vdbow100, 0.001, liblinear, l2, -1, 0.8486, 0.8629222309505106, 0.8337408312958435, 0.8433781190019194, 0.8542797494780794, 2197, 408, 349, 2046
d2vdbow100, 0.0001, liblinear, l2, -1, 0.844, 0.8554595443833464, 0.8321108394458028, 0.8409266409266409, 0.8473029045643153, 2178, 412, 368, 2042
d2vdbow100, 0.001, sag, l2, -1, 0.8476, 0.8739198743126473, 0.8202933985330073, 0.8345836459114778, 0.8624678663239075, 2225, 441, 321, 2013
d2vdbow100, 0.0001, sag, l2, -1, 0.841, 0.8637077769049489, 0.8174409127954361, 0.8307517944843219, 0.8525286867828304, 2199, 448, 347, 2006
d2vdbow100, 0.001, saga, l1, -1, 0.4908, 0.0, 1.0, nan, 0.4908, 0, 0, 2546, 2454
d2vdbow100, 0.0001, saga, l1, -1, 0.4908, 0.0, 1.0, nan, 0.4908, 0, 0, 2546, 2454
d2vdbow100, 0.001, saga, l2, -1, 0.8476, 0.8739198743126473, 0.8202933985330073, 0.8345836459114778, 0.8624678663239075, 2225, 441, 321, 2013
d2vdbow100, 0.0001, saga, l2, -1, 0.841, 0.8633150039277298, 0.8178484107579462, 0.8310018903591683, 0.8522292993630574, 2198, 447, 348, 2007

w2vavg, 1.0, lbfgs, l2, -1, 0.7664, 0.7772977219167321, 0.7550937245313774, 0.7670542635658915, 0.765702479338843, 1979, 601, 567, 1853
w2vavg, 0.001, newton-cg, l2, -1, 0.6674, 0.6759622937941869, 0.658516707416463, 0.6725283313794451, 0.6620237607537894, 1721, 838, 825, 1616
w2vavg, 0.0001, newton-cg, l2, -1, 0.6488, 0.6563236449332286, 0.6409942950285249, 0.6547805642633229, 0.6425653594771242, 1671, 881, 875, 1573
w2vavg, 0.001, lbfgs, l2, -1, 0.6674, 0.6759622937941869, 0.658516707416463, 0.6725283313794451, 0.6620237607537894, 1721, 838, 825, 1616
w2vavg, 0.0001, lbfgs, l2, -1, 0.6488, 0.6563236449332286, 0.6409942950285249, 0.6547805642633229, 0.6425653594771242, 1671, 881, 875, 1573
w2vavg, 0.001, liblinear, l2, -1, 0.683, 0.7525530243519246, 0.6108394458027709, 0.6673632880529432, 0.7040864255519023, 1916, 955, 630, 1499
w2vavg, 0.0001, liblinear, l2, -1, 0.5936, 0.9418695993715632, 0.23227383863080683, 0.5600186828584773, 0.7938718662952646, 2398, 1884, 148, 570
w2vavg, 0.001, sag, l2, -1, 0.6674, 0.6759622937941869, 0.658516707416463, 0.6725283313794451, 0.6620237607537894, 1721, 838, 825, 1616
w2vavg, 0.0001, sag, l2, -1, 0.6486, 0.655145326001571, 0.6418092909535452, 0.6548881036513545, 0.6420709335507542, 1668, 879, 878, 1575
w2vavg, 0.001, saga, l1, -1, 0.4908, 0.0, 1.0, nan, 0.4908, 0, 0, 2546, 2454
w2vavg, 0.0001, saga, l1, -1, 0.5092, 1.0, 0.0, 0.5092, nan, 2546, 2454, 0, 0
w2vavg, 0.001, saga, l2, -1, 0.6674, 0.6759622937941869, 0.658516707416463, 0.6725283313794451, 0.6620237607537894, 1721, 838, 825, 1616
w2vavg, 0.0001, saga, l2, -1, 0.6488, 0.6563236449332286, 0.6409942950285249, 0.6547805642633229, 0.6425653594771242, 1671, 881, 875, 1573

